Year,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,higher_rank_won,rank_diff,rank_diff_cat,same_handedness
2022,Kecmanovic M.,Sonego L.,77,26.0,SRB,2017,75,183,Right,ITA,2013.0,76.0,191.0,Right,No,51.0,Medium,Yes
2022,Monfils G.,Garin C.,20,19.0,FRA,2004,80,193,Right,CHI,2013.0,85.0,185.0,Right,No,1.0,Low,Yes
2022,Berrettini M.,Alcaraz C.,7,31.0,ITA,2015,95,196,Right,ESP,2018.0,72.0,185.0,Right,Yes,-24.0,Low,Yes
2022,Shapovalov D.,Opelka R.,14,29.0,CAN,2016,76,183,Left,USA,2015.0,100.0,211.0,Right,Yes,-15.0,Low,No
2022,Carreno Busta P.,Korda S.,21,43.0,ESP,2009,78,188,Right,USA,2018.0,77.0,196.0,Right,Yes,-22.0,Low,Yes
2022,Zverev A.,Albot R.,3,124.0,GER,2013,86,198,Right,MDA,2008.0,69.0,175.0,Right,Yes,-121.0,High,Yes
2022,Nadal R.,Khachanov K.,5,30.0,ESP,2001,85,185,Left,RUS,2013.0,88.0,198.0,Right,Yes,-25.0,Low,No
2022,Mannarino A.,Karatsev A.,69,15.0,FRA,2004,70,180,Left,RUS,2011.0,85.0,185.0,Right,No,54.0,Medium,No
2022,Fritz T.,Bautista Agut R.,22,18.0,USA,2015,84,193,Right,ESP,2005.0,76.0,183.0,Right,No,4.0,Low,Yes
2022,Tsitsipas S.,Paire B.,4,56.0,GRE,2016,83,193,Right,FRA,2007.0,80.0,196.0,Right,Yes,-52.0,Medium,Yes
2022,Cressy M.,O Connell C.,70,175.0,USA,2019,91,198,Right,AUS,2011.0,78.0,183.0,Right,Yes,-105.0,High,Yes
2022,Medvedev D.,Van De Zandschulp B.,2,57.0,RUS,2014,81,198,Right,NED,2018.0,83.0,188.0,Right,Yes,-55.0,Medium,Yes
2022,Auger-Aliassime F.,Evans D.,9,24.0,CAN,2016,84,188,Right,GBR,2006.0,75.0,175.0,Right,Yes,-15.0,Low,Yes
2022,Sinner J.,Daniel T.,10,120.0,ITA,2018,76,188,Right,JPN,2010.0,76.0,191.0,Right,Yes,-110.0,High,Yes
2022,De Minaur A.,Andujar P.,42,83.0,AUS,2015,69,180,Right,ESP,2003.0,76.0,180.0,Right,Yes,-41.0,Medium,Yes
2022,Cilic M.,Rublev A.,27,6.0,CRO,2005,89,198,Right,RUS,2014.0,68.0,188.0,Right,No,21.0,Low,Yes
2022,Nadal R.,Mannarino A.,5,69.0,ESP,2001,85,185,Left,FRA,2004.0,70.0,180.0,Left,Yes,-64.0,Medium,Yes
2022,Shapovalov D.,Zverev A.,14,3.0,CAN,2016,76,183,Left,GER,2013.0,86.0,198.0,Right,No,11.0,Low,No
2022,Monfils G.,Kecmanovic M.,20,77.0,FRA,2004,80,193,Right,SRB,2017.0,75.0,183.0,Right,Yes,-57.0,Medium,Yes
2022,Berrettini M.,Carreno Busta P.,7,21.0,ITA,2015,95,196,Right,ESP,2009.0,78.0,188.0,Right,Yes,-14.0,Low,Yes
2022,Auger-Aliassime F.,Cilic M.,9,27.0,CAN,2016,84,188,Right,CRO,2005.0,89.0,198.0,Right,Yes,-18.0,Low,Yes
2022,Medvedev D.,Cressy M.,2,70.0,RUS,2014,81,198,Right,USA,2019.0,91.0,198.0,Right,Yes,-68.0,Medium,Yes
2022,Sinner J.,De Minaur A.,10,42.0,ITA,2018,76,188,Right,AUS,2015.0,69.0,180.0,Right,Yes,-32.0,Medium,Yes
2022,Tsitsipas S.,Fritz T.,4,22.0,GRE,2016,83,193,Right,USA,2015.0,84.0,193.0,Right,Yes,-18.0,Low,Yes
2022,Nadal R.,Shapovalov D.,5,14.0,ESP,2001,85,185,Left,CAN,2016.0,76.0,183.0,Left,Yes,-9.0,Low,Yes
2022,Berrettini M.,Monfils G.,7,20.0,ITA,2015,95,196,Right,FRA,2004.0,80.0,193.0,Right,Yes,-13.0,Low,Yes
2022,Tsitsipas S.,Sinner J.,4,10.0,GRE,2016,83,193,Right,ITA,2018.0,76.0,188.0,Right,Yes,-6.0,Low,Yes
2022,Medvedev D.,Auger-Aliassime F.,2,9.0,RUS,2014,81,198,Right,CAN,2016.0,84.0,188.0,Right,Yes,-7.0,Low,Yes
2022,Nadal R.,Berrettini M.,5,7.0,ESP,2001,85,185,Left,ITA,2015.0,95.0,196.0,Right,Yes,-2.0,Low,No
2022,Medvedev D.,Tsitsipas S.,2,4.0,RUS,2014,81,198,Right,GRE,2016.0,83.0,193.0,Right,Yes,-2.0,Low,Yes
2022,Nadal R.,Medvedev D.,5,2.0,ESP,2001,85,185,Left,RUS,2014.0,81.0,198.0,Right,No,3.0,Low,No
2021,Raonic M.,Coria F.,14,92.0,CAN,2008,98,196,Right,ARG,2010.0,73.0,180.0,Right,Yes,-78.0,High,Yes
2021,Mannarino A.,Novak D.,36,98.0,FRA,2004,70,180,Left,AUT,2011.0,80.0,183.0,Right,Yes,-62.0,Medium,No
2021,Ruusuvuori E.,Monfils G.,86,11.0,FIN,2018,79,188,Right,FRA,2004.0,80.0,193.0,Right,No,75.0,Medium,Yes
2021,Moutet C.,Millman J.,71,39.0,FRA,2016,71,175,Left,AUS,2006.0,79.0,183.0,Right,No,32.0,Medium,No
